time,set_alt,alt,airspeed,groundspeed,gcs_speed,set_speed,commanded_speed
0,200.0,200.48,30.8617134094,31.2768039703,13.96201016,418.498053619,35.0
1,200.0,200.61,32.5004692078,32.8987312317,13.96201016,443.185328244,35.0
2,200.0,202.29,32.1615486145,32.3396530151,13.96201016,439.489460643,35.0
3,200.0,203.9,30.5438575745,30.6631240845,13.96201016,424.459218713,35.0
4,200.0,204.29,29.6104602814,29.9416503906,13.96201016,413.771486099,35.0
5,200.0,204.0,29.3141460419,29.7150344849,13.96201016,402.610731234,35.0
6,200.0,203.319,29.1518383026,29.6179161072,13.96201016,391.084797672,35.0
7,200.0,202.22,29.3045864105,29.6348667145,13.96201016,372.170066873,35.0
8,200.0,201.17,29.392786026,29.7099189758,13.96201016,353.495599901,35.0
9,200.0,200.26,29.3396244049,29.7416400909,13.96201016,334.913727744,35.0
10,200.0,199.569,29.4858455658,29.7831840515,13.96201016,339.157094885,35.0
11,200.0,198.97,29.6096458435,29.7844676971,13.96201016,327.213582336,35.0
12,200.0,198.51,29.4158344269,29.7020740509,13.96201016,315.589706975,35.0
13,200.0,198.08,29.6533432007,29.7190608978,13.96201016,303.925391764,35.0
14,200.0,197.769,29.1533298492,29.7039012909,13.96201016,292.535714454,35.0
15,200.0,197.5,29.5873451233,29.7850112915,15.43332,192.629902161,35.0
16,200.0,197.28,29.5178756714,29.774559021,15.43332,193.735734838,35.0
17,200.0,197.019,29.8947257996,30.1016960144,15.43332,188.827346105,35.0
18,200.0,197.14,29.6584854126,29.9486370087,15.43332,184.801229146,35.0
19,200.0,197.34,29.6238212585,29.8507175446,15.43332,179.734707884,35.0
20,200.0,197.69,29.7304153442,29.8068180084,15.43332,169.825053423,35.0
21,200.0,197.989,29.4501667023,29.7104873657,15.43332,164.023668816,35.0
22,200.0,198.19,29.3630466461,29.7500934601,15.43332,158.108573546,35.0
23,200.0,198.33,29.4938297272,29.8133602142,15.43332,152.24374448,35.0
24,200.0,198.459,29.5710067749,29.8733825684,15.43332,146.174277719,35.0
25,200.0,198.59,29.4013462067,29.875421524,15.43332,140.059203389,35.0
26,200.0,198.7,29.7522163391,29.9449424744,15.43332,129.897515942,35.0
27,200.0,198.84,29.7988014221,29.9506244659,15.43332,123.816021729,35.0
28,200.0,199.01,29.6613082886,29.9493732452,15.43332,117.776810957,35.0
29,200.0,199.129,29.5972633362,30.0225830078,15.43332,108.022529408,35.0
30,200.0,199.26,29.7834949493,30.0871124268,15.43332,98.4519858075,35.0
31,200.0,199.39,29.8933601379,30.0912818909,15.43332,92.7301818486,35.0
32,200.0,199.51,29.7807579041,30.0753211975,15.43332,83.8359307242,35.0
33,200.0,199.599,29.6316070557,30.0803089142,15.43332,78.4629076129,35.0
34,200.0,199.65,29.5437507629,30.1505241394,15.43332,77.547334623,35.0
35,200.0,199.659,29.8681049347,30.212015152,15.43332,72.1986567831,35.0
36,200.0,199.659,30.1145401001,30.2393531799,15.43332,67.0006843024,35.0
37,200.0,199.769,29.8676872253,30.1718006134,15.43332,62.0083606391,35.0
38,200.0,199.86,29.8954963684,30.156419754,15.43332,57.3039989865,35.0
39,200.0,199.92,29.7503547668,30.1485977173,15.43332,52.7280262689,35.0
40,200.0,199.98,30.0284957886,30.1567611694,15.43332,45.995399375,35.0
41,200.0,200.04,29.8436794281,30.1556491852,15.43332,42.0846489839,35.0
42,200.0,200.099,29.8282966614,30.1276683807,15.43332,36.4108777645,34.12
43,200.0,200.06,30.0470924377,30.1940555573,15.43332,33.1275567863,31.06
44,200.0,200.069,29.7888031006,30.2228794098,15.43332,28.6172767646,28.27
45,200.0,200.43,29.4502944946,29.7283039093,15.43332,26.1292383762,25.83
46,200.0,200.879,29.1158618927,29.2579975128,15.43332,24.0018784348,22.65
47,200.0,201.269,28.5607719421,28.9234161377,15.43332,22.2147356255,21.03
48,200.0,201.55,28.2018508911,28.70911026,15.43332,20.6890099723,19.73
49,200.0,201.659,28.3006057739,28.5428028107,15.43332,20.1363659681,19.26
50,200.0,201.739,28.2234802246,28.3533496857,15.43332,19.028073037,18.33
51,200.0,201.81,27.9770545959,28.084318161,15.43332,18.1665459459,17.67
52,200.0,201.78,27.3516998291,27.8880767822,15.43332,17.5631701763,17.26
53,200.0,201.64,27.3943977356,27.7869338989,15.43332,17.208328017,17.1
54,200.0,201.55,27.4943466187,27.6437339783,15.43332,17.0925837081,17.05
55,200.0,201.56,27.0342330933,27.3447628021,15.43332,17.0234799448,16.88
56,200.0,201.51,26.7292289734,27.0715503693,15.43332,16.6861421442,16.39
57,200.0,201.519,26.9330978394,26.9666442871,15.43332,16.3383603785,15.95
58,200.0,201.659,26.5742301941,26.8798522949,15.43332,15.9062038111,15.42
59,200.0,201.97,26.3814201355,26.7144470215,15.43332,15.4755726081,15.0
60,200.0,202.44,25.984128952,26.2592926025,15.43332,15.0847521192,15.0
61,200.0,202.879,25.3297805786,25.6290245056,15.43332,14.3764430983,15.0
62,154.382617474,203.129,24.8953037262,25.22448349,18.8286504,31.1097749865,15.0
63,155.392012596,202.65,25.1237697601,25.2612609863,18.8286504,42.2537703208,35.0
64,156.232694983,198.31,27.4294033051,27.6526966095,18.8286504,57.6388934618,35.0
65,157.192648252,194.09,29.128364563,29.220413208,18.8286504,70.0786873717,35.0
66,158.074935079,188.36,30.3995361328,30.1073818207,18.8286504,77.0154987217,35.0
67,158.908918301,183.45,30.4555950165,30.3570957184,18.8286504,78.2029490257,35.0
68,359.759369095,178.45,30.6671791077,30.7001972198,18.8286504,75.1162829021,35.0
69,360.628654957,174.37,31.6603393555,31.9684848785,18.8286504,69.7665938166,35.0
